"Paper ID","Citation (Author, Year)","Title","DOI/URL","Geographical variable","Sector / policy domain","Temporal variable","Research design & method","Unit of analysis","Temporal window of observation","Definition of adaptive governance (with page no.)","Primary theoretical framework(s)","Normative stance toward AG","Enablers of AG","Challenges of AG","Evidence of AG in practice","Indicators / operationalizations","Engagement with power & politics","Engagement with equity / justice / legitimacy","Mechanisms of AG","Institutional conditions enabling AG","Institutional conditions constraining AG","Relationship with related concepts","How AG is distinguished from related concepts","Level of governance","Type of evidence supporting AG claims","Key quotation(s) + page no.","Notes / Coding comments"
"11","Chen, X., Ding, Z., Li, X., Baiyinbaoligao, & Liu, H. (2025)","Spatiotemporal Dynamics, Risk Mechanisms, and Adaptive Governance of Flood Disasters in the Mekong River Countries","https://doi.org/10.3390/su17219664","Lower Mekong Basin (Cambodia, Laos, Myanmar, Thailand, Vietnam)","Flood disaster risk and water governance","1962–2024","Multivariate spatiotemporal analysis and multisource data fusion (EM-DAT, MRC) using the Analytic Hierarchy Process (AHP) to construct a Flood Risk Index","Five Mekong River Basin countries and their flood governance frameworks","1962–2024","Flexible, context-specific approaches to disaster management requiring dynamic policy frameworks capable of adjusting to spatial disparities","Classical Risk Theory (Risk = Hazard × Exposure × Vulnerability/Coping Capacity)","Supportive / advocated","Regional cooperation; institutional flexibility; transboundary knowledge sharing","Fragmented management; lack of unified coordination; infrastructure prioritizing hydropower over flood mitigation","Lancang–Mekong Cooperation activities and Mekong River Commission regional coordination","Flood Risk Index incorporating rainfall intensity, deforestation, HDI, and reservoir storage","Central analytical concern","Mentions vulnerability of children and the elderly; systematic engagement with equity/justice Not reported","Dynamic adjustment to spatial flood typologies; coordinated cross-border reservoir operations","Transboundary institutional flexibility; basin-scale data sharing","Fiscal capacity disparities; fragmented national management; uneven structural flood control","Linked to Sustainable Development Goals (SDGs) and disaster risk reduction","Distinguished from fragmented national management focused on single events or localized areas","Transboundary / regional and national","Spatiotemporal analysis; comparative multi-country database; 2018 field validation","""The analysis identifies critical gaps in adaptive governance, particularly the need for dynamic policy frameworks..."" (p.2)","Comparative regional flood governance study across the Lower Mekong Basin"
"13","Xu, J., Li, Y., Shao, S., & Ke, X. (2026)","Sustainability-Oriented Assessment of the Governance Capacity of China's Intangible Cultural Heritage Policies: A Hybrid BERTopic-PMC Systematic Analysis","https://doi.org/10.3390/su18052177","China","Intangible Cultural Heritage (ICH) safeguarding","2005–2025","Hybrid text-as-data approach combining BERTopic topic modelling with the Policy Modeling Consistency (PMC) Index","26 national-level Chinese ICH policy documents","2005–2025","Dynamic monitoring, annual evaluations, rolling revisions, corrective mechanisms, and learning-based adaptive adjustment as core mechanisms of sustained improvement","Sustainable governance; Collaborative governance; PMC Index model","Supportive / advocated","Cross-sector coordination; multi-actor participation; closed-loop feedback systems; stable multi-year budgeting","Weaknesses in time institutionalization; lack of monitoring–evaluation–feedback provisions","Shift in policy agenda toward resource allocation and performance governance","Nine primary variables and 45 binary secondary indicators","Central analytical concern","Equity and inclusion for marginalized groups; community participation; co-governance","Closed-loop feedback-driven policy revision; rolling adjustment mechanisms; dynamic inventory management","Unified systems for data collection and monitoring–evaluation linked to budget allocation","Preference for principle-based guidance over tightly specified, time-bound pathways","Linked to Sustainable Development Goals (SDGs) and living heritage transmission","Distinguished from project-style or episodic staged tasks lacking rolling revision","National","PMC Index scores; semantic network clustering; Sankey diagram of topic evolution","""Whether the policy system can institutionalize durable, implementable, monitorable, and feedback-enabled arrangements... constitutes a decisive prerequisite."" (p.2)","Quantitative policy analysis of China's national ICH governance framework"
"14","Guo, H., Pang, R., Liu, L., Xing, X., & Li, H. (2026)","Approach to Establishment of Self-Organizing Governance in Digital Government Systems","10.3390/su18063035","China (Shanghai and Jiangsu)","Digital government systems","2019–2024","Data-driven and theory-guided hybrid approach using complex network analysis and named entity recognition of policy texts","Government information interaction networks (administrative decision-making and execution levels)","Shanghai transportation (2021–2024); Jiangsu COVID-19 emergency (2019–2020)","Capability of a digital government system to continuously reconfigure its architecture and governance arrangements in response to context-driven changes rather than relying on predetermined processes or fixed hierarchy","IT alignment theory; Complex network theory; Modularity theory","Supportive / advocated","Self-organization; fractal design; dynamic alignment; bottom-up decentralized decision-making","Rigid top-down architecture; structural rigidity; business–governance misalignment","Routine urban transportation governance in Shanghai and COVID-19 emergency management in Jiangsu","Network topological properties (scalelessness, self-similarity, heavy-tailed distribution) and 11 governance rules","Mentions platform-based power constraints","Mentioned - accountability and stability recurring as goals (""stable, accountable and responsive government""; ""preserving institutional stability and accountability""); transparency discussed as a core governance attribute (usefulness, strategic construction, participation); equity/justice not substantively addressed; user-centricity noted","Fractal modular design; on-demand modularization; layered-nested coordination","Multi-stakeholder participation; coordination of internal and external capabilities","Rigid administrative hierarchies; pre-structured systems","Linked to intelligence; resilience; compatibility; sustainable digital governance","Distinguished from traditional hierarchical governance and planned collaborative governance","Multilevel - subnational/local and regional (city Shanghai; province Jiangsu) with national policy context (14th Five-Year Plan); governance analyzed across administrative decision-making and governance-execution levels; also references international/OECD, EU, US frameworks as backdrop","Quantitative network analysis of 497 policy documents and structural diagnosis of interaction hubs","""Adaptive governance that supports self-organization and structural coordination is essential for the sustainable development of digital government systems."" (p.648)","Digital governance study using network analysis and policy text mining"
"16","Hoppit, G., Pieraccini, M., & Turner, R. A. (2026)","Legal frameworks for adaptive governance in marine protected areas: An English case study","https://doi.org/10.1016/j.jenvman.2026.129587","England (inshore waters)","Marine conservation / Marine Protected Areas (MPAs)","Post-2009 (Marine and Coastal Access Act implementation)","Mixed methods; doctrinal legal analysis of the MCAA plus supporting statutory/policy guidance documents; complemented by document analysis; and six semi-structured (elite) interviews with IFCA practitioners conducted virtually in 2021, transcribed and thematically coded (p.3)","Marine and Coastal Access Act 2009 (MCAA) and Inshore Fisheries and Conservation Authorities (IFCAs)","2009–2026","Flexible and iterative framework for navigating uncertainty and complexity in social-ecological systems through learning, experimentation, and collective decision-making","Adaptive governance principles: social learning; reflexivity; planned review; participatory decision-making","Supportive / advocated","Statutory diverse membership; flexible byelaw permitting; institutionalized knowledge sharing","Limited institutional capacity; funding shortfalls; bureaucratic delays","Sussex IFCA trawling byelaw and Devon & Severn IFCA permitting systems","Multiple-loop learning; reflexivity; scheduled review periods","Discusses conflicts between regulators and stakeholders","Participation enhances legitimacy and acceptability but empowerment remains limited","Iterative policy adjustments; mandated reporting; reflexive checkpoints","Mandated diverse membership in regulatory bodies","Non-binding statutory advice; rigid precautionary principle application","Linked to social-ecological resilience and adaptive management","Distinguished from reactive management and static governance pathways","Local and regional (inshore)","Doctrinal legal analysis and qualitative interviews","""Resilience is developed through the institutionalization of flexibility by learning-based accountability rather than ex post facto sanctioning."" (p.731)","Mixed-methods legal and governance study of English MPAs"
"17","Jiang, L., & Ma, T. (2025)","Adaptive Governance and Policy Evolution of the Yangtze River Fishing Ban: A Quantitative Analysis (2002–2024)","https://doi.org/10.3390/w17213032","China (Yangtze River Basin)","Watershed governance / Fisheries management","2002–2024","Quantitative policy text analysis using ROST CM6 and NVivo 12 Plus","120 central government policy documents","2002–2024","Dynamic adjustment of policy tools to meet evolving demands and enhance system resilience","Policy tool theory; Intergovernmental collaborative governance","Supportive / advocated","Institutional frameworks; cross-regional platforms; multi-level learning","Imbalanced policy tool structure; dependence on central government; rigid constraints with limited flexibility","Cross-provincial ecological compensation pilots in the Chishui River","Counts and proportions of supply-side, demand-side and environmental policy tools","Focuses on intergovernmental coordination and administrative barriers","Addresses fishermen's resettlement; social security; livelihood security","Phased adaptation of policy tool combinations","Institutionalized cooperation platforms; cross-departmental task division","Sectoral hierarchies; vague responsibility divisions; fiscal transfer dependence","Linked to resilience; sustainability; collaborative governance","Distinguished from rigid constraints and case-by-case handling","National and basin-wide","Quantitative analysis of policy instrument nodes across 120 policy texts","""Tool combinations have adapted to changing collaboration needs, evolving from rigid constraints and fiscal subsidies to institutional frameworks and cross-regional cooperation."" (p.756)","Quantitative policy evolution study of Yangtze River fisheries governance"
"18","Guo, R., & Ye, M. (2026)","From pollution control to adaptive governance: evidence from text-as-data analysis of statutory discourse in Japan's Seto Inland Sea","10.3389/fmars.2026.1789035","Japan (Seto Inland Sea)","Marine environmental governance / Nutrient management","1960s–2025","Text-as-data analysis using word frequency, Jaccard co-occurrence networks, and multidimensional scaling","41 statutory policy documents (laws and statutory plans)","1960s–1977; 1978–2014; 2015–2025","Post-remediation governance characterized by evidence-and-feedback rationality, nutrient optimization, monitoring, and policy-effect verification","Shift in governance rationalities (Compliance → Performance → Evidence/Feedback)","Supportive / advocated","Rule certainty combined with adjustment flexibility through reviewable procedures","Trade-offs among water quality, ecosystem productivity, and fisheries livelihoods","2022 amendment to the Seto Inland Sea Act introducing two-way nutrient management plans","Jaccard coefficients and multidimensional scaling semantic neighbourhoods","Discusses authority–responsibility boundaries and hydro-political context","Legitimacy linked to standardized public water quality standards","Goal–indicator–evaluation systems; monitoring–evaluation–revision loops","Statutory provisions specifying evaluation schedules and revision triggers","Short-cycle oscillation; long ecological response lags","Linked to Integrated Coastal Management (ICM) and Satoumi","Distinguished from one-way reduction-oriented regulation and purely deliberative approaches","National and prefectural","Longitudinal structural analysis of 41 statutory texts","""Governance design also benefits from formalizing a realistic interpretation window for effectiveness verification, reducing short-cycle oscillation driven by transient fluctuations."" (p.963)","Longitudinal statutory discourse analysis of Japanese marine governance"
"19","Rabinovych, M., & Bjornå, H. (2025)","Navigating turbulence: adaptive local governance responses to the consequences of Russia's war against Ukraine in the Norwegian Arctic","https://doi.org/10.1017/S0032247425100119","Norway (Troms and Finnmark counties)","Local governance across civilian preparedness, international cooperation, infrastructure, and economics","2022–2025","Qualitative methodology using 19 semi-structured interviews, policy document analysis, and media analysis","Local and regional authorities and stakeholders in the Norwegian Arctic","Interview period: October 2024–March 2025","How organizations respond to crisis and turbulence through long-term institutional adaptation, iterative learning, and strategic flexibility","Crisis; turbulence; political adaptation theory","Neutral / analytical","Inclusive consensus-building; strong civic engagement; international networks","Institutional and organizational inflexibility; limited resources; institutional entanglements","Internal restructuring for civilian preparedness and intermunicipal advisor sharing","Five strategies: iterative learning; seizing opportunities; flexibility; meaningful collaboration; adaptive leadership","Examines geopolitical disruptions and changing power dynamics","Considers Sámi concerns, traditional livelihoods, and consensus-building","Small-scale experimentation; gradual policy adjustment; multi-stakeholder networks","Pre-existing cooperation structures; trust-based relationships","National policy constraints; international negotiations limiting local adaptation","Linked to resilience; robustness; agility","Distinguished from resilience by emphasizing transformation and innovation under ongoing turbulence","Local and regional","Semi-structured interviews with political and administrative leaders","""Norway's deeply rooted culture of stakeholder engagement and inclusive consensus-building has consistently been depicted as an important asset in navigating turbulence."" (p.996)","Qualitative study of adaptive local governance in the Norwegian Arctic"
"20","Srinivasan, J. (2025)","Transforming collapsing arid river systems: Moving from deterministic approaches to complex adaptive governance","https://doi.org/10.1016/j.wasec.2025.100192","Global arid and semi-arid regions (Upper Colorado River, USA; Syr Darya, Kazakhstan; Amu Darya, Uzbekistan)","Water security / River governance","Historical to present; references 1922 Colorado River Compact through 2022-2025 shortage declarations and legislation; drought/inflows ""Since 2000"" (p.5); no single bounded empirical period.","Narrative literature review and comparative case analysis","River systems, watersheds, and catchments","Not an empirical observation window; review referencing events c.1922-2025.","Epistemic and operational approach enabling societies to live with risk and uncertainty regarding water availability and river flows","Complex Adaptive Governance; Panarchy; Bioeconomics","Supportive / advocated","Social cohesion; kinship and social networks; culturally fluid property rights","Entrenched efficiency traps; rationalist legacy models; Soviet-era institutional mechanisms","Syr Darya Delta common-pool resources; Colorado Basin Salinity Control Program","Multi-level salinity management trends; fluidity of de jure and de facto property rights","Discusses political economy and power distribution among actors","Highlights inequitable allocation systems under deterministic governance","Structural governance and feedback systems; sensemaking; continual redrafting of governance narratives","Decentralized systems; overlapping property rights","Entrenched river-flow management practices; state ownership of land","Linked to transitions and transformation","Transformation described as deeper systemic change than transitions","Cross-scale (local to international/basin)","Narrative review and historical longitudinal case studies","""Complex adaptive governance is defined as an epistemic and operational approach that enables societies to live with risk and uncertainty regarding water availability and river flows.""","Conceptual and comparative review of adaptive river governance"
"21","Hasan, F. U., Dare, L., & Sinclair, D. (2025)","Governing groundwater in the Indus Basin: Barriers to effective groundwater management and pathways for reform","10.1016/j.envsci.2025.104247","Indus Basin, Pakistan","Groundwater / Agriculture","2025","Document analysis and semi-structured interviews","Legal, institutional, and policy frameworks of the Indus Basin","Contemporary","Not explicitly defined; aligned with learning-based and collaborative management","Ostrom's Design Principles; Integrated Water Resource Management (IWRM); Stakeholder Engagement Theory","Supportive / advocated","Farmer-led monitoring; polycentric monitoring; information exchange","Overlapping agency mandates; weak enforcement; limited stakeholder participation","Traditional irrigation systems; farmer-led and citizen-science monitoring","Nested enterprises; collective-choice arrangements; graduated sanctions","Discusses exclusion of smallholders and governance power imbalances","Focuses on legitimacy, inclusion, and exclusion of smallholders","Co-design; polycentric monitoring combining state and citizen science","Rules adapted to local conditions; conflict-resolution mechanisms","Institutional fragmentation; capacity gaps; socio-political inertia","Linked to polycentric, participatory, and collaborative governance","Not reported","Multi-level (local to basin)","Policy reviews; institutional mapping; stakeholder interviews","""Stakeholder engagement is crucial as it operationalises participatory governance principles.""","Groundwater governance reform study in Pakistan"
"23","Lecocq & Müller (2025)","Protean power and adaptive governance in EU peacebuilding: engaging hybrid actors in a fragmented European neighbourhood","10.1057/s41295-025-00422-x","EU Neighbourhood (Lebanon and Gaza)","Foreign policy / Peacebuilding / Crisis management","2006 (Hamas election victory in Palestinian legislative elections) to 2023; also references Hezbollah's emergence in late 1970s/1980s and the ongoing Israel-Gaza war from October 2023","Qualitative case study analysis","EU crisis management and foreign policy integration","Empirical observation from the 2006 Palestinian elections until 2023 (p.709)","Not explicitly defined; framed through strategic flexibility and long-term institutional adaptation","Protean Power; Political Adaptation Theory","Not reported","Conflict early warning; liquid alliances; innovation; transformation","Radical uncertainty; limited leadership","EU peacebuilding; selective engagement with Islamist parties","Conflict Early Warning System; convergence in EU foreign policy","Central analytical concern (protean power; discursive power)","Mentioned - discusses legitimacy of hybrid actors (Hezbollah ""officially and legitimately representing part of the (Shi'a) population""; drawing on external actors' ""legitimacy""); notes concerns about undermining ""nascent Palestinian democratic institutions"", socio-economic decline and radicalization from the Hamas boycott; equity/justice not treated as a dedicated analytical focus","Early warning; strategic flexibility; strategic adaptation","Integrated EU crisis management; innovative practice","Legal/political constraints from terrorist designations and sanctions; rigid ""no-contact"" policies; ""rule-dependency"" and ""decentralized decision-making"" as limiting factors for protean power (p.723); accountability structures and partner (Israeli) pressure; divergent member-state positions creating mandate ambiguity that pushes diplomats to avoid engagement; decisions taken in international bodies (Middle East Quartet); lack of EU intelligence capacity","Linked to resilience; agility; crisis response","Adaptive governance is positioned as the transformative process that converts a protean power response of improvisation/innovation into ""more durable, institutionalized adaptive governance arrangements and practices"" (Abstract); adaptive governance strategies (learning, innovation, experimentation) are contrasted with ""stability-minded, hierarchical forms of governance that tend to be associated with 'control power'"" (p.710); adaptive governance addresses the neglected process by which protean power translates into institutional/policy/practice change","Multilevel - EU institutions (Council, Commission, EEAS), member states, and local/field-level actors, plus international/regional levels","Theoretical analysis and foreign policy case studies","""The Protean Power of Europe: Innovation and Transformation in the Face of Radical Uncertainty.""","Conceptual and case-based analysis of EU adaptive governance"
"24","Singh, R., et al. (2025)","Scaling rainwater harvesting for irrigation in Kenya: potential sustainability risks and the need for adaptive governance","https://doi.org/10.1088/2976-601X/ad93db","Kenya","Food systems / Agricultural irrigation","2024–2025","Qualitative design; combines a global literature review (60 publications screened, 11 excluded, 49 analyzed) with a Kenyan case study; primary data: 41 semi-structured and unstructured interviews (45-90 min) plus 1 focus group discussion, preceded by 6 expert interviews, site visits and non-participant observation; thematic coding of transcripts into three sustainability dimensions (environmental, social, economic) and comparison/synthesis with literature (pp.5-6)","Rainwater harvesting scaling strategies","Contemporary","Governance approach emphasizing flexibility, resilience, and capacity for change rather than linear outcome-focused management","Critical Institutionalism; Adaptive Governance","Supportive / advocated","High social capital (multiplicity of networks, cross-group interactions, strong leadership, trust); participatory, inclusive and democratic development of scaling strategies giving stakeholders ownership; institutional legitimacy; multi-stakeholder spaces linking actors across scales; strong monitoring and data-collection capacity feeding learning and experimentation; a legitimate legal framework with agreed conflict-management/adjudication mechanisms; collaboration with customary/community institutions; incentivizing farmers to self-report; prioritizing smallholders' needs and legal protection","Sustainability risks; uncertain conditions","Farmer-led irrigation development in Kenya","Operationalised via the ""dimensions of sustainability"" framework (environmental, social, economic costs/benefits) applied across scales (individual, household, community, watershed/regional); responsible-scaling heuristic of identifying ""what works, what fits, and who is responsible"" (p.3); multi-scalar risk assessment; and AG process elements of monitoring, ""learning processes"", ""experimentation"" and feedback loops, plus development of ""appropriate indicators, data collection methods and tools to assess outcomes of scaling"" (p.11)","Discusses political and socio-political dynamics","Addresses equity implications, gender, and intergenerational inequity","Flexibility; resilience; capacity for change","Institutional legitimacy and local ownership; high social capital and trust; participatory/consensus-based processes; legal and policy frameworks that recognise and represent RWHI; multi-scalar institutions attuned to sustainability goals at different scales; multi-stakeholder spaces; collaboration between state and customary/community institutions","Linear outcome-focused management regimes","Linked to resilience","Distinguished from linear outcome-focused management","Multilevel; explicitly multi-scalar - individual, household, community, watershed/catchment, county, regional and national levels, with emphasis on institutions attuned across scales","Mixed - empirical case study (interviews, focus group, observation in Kenya) combined with a global literature review (secondary/case evidence) and theoretical/conceptual framing (adaptive governance and critical institutionalism)","""Adaptive governance is a relevant approach for managing complex issues and achieving sustainability under uncertain conditions.""","Mixed empirical (qualitative case study + literature review) and conceptual paper; adaptive governance is a central, prescriptive analytical frame (in title, theory and all three discussion recommendations) rather than a passing mention, so INCLUDE despite the water-resource-management topic; AG is largely presented as needed/absent in Kenya rather than empirically observed in operation; strong integration of critical institutionalism, power and equity; page numbers cited use the article's printed page numbers"
